Country,ISO Code
Albania,ALB
Andorra,AND
Austria,AUT
Belarus,BLR
Belgium,BEL
Bosnia and Herzegovina,BIH
Bulgaria,BGR
Croatia,HRV
Czechia,CZE
Denmark,DNK
Estonia,EST
Finland,FIN
France,FRA
Germany,DEU
Georgia,GEO
Greece,GRC
Hungary,HUN
Iceland,ISL
Ireland,IRL
Italy,ITA
Kosovo,KOS
Latvia,LVA
Liechtenstein,LIE
Lithuania,LTU
Luxembourg,LUX
Malta,MLT
Moldova,MDA
Monaco,MCO
Montenegro,MNE
Netherlands,NLD
North Macedonia,MKD
Norway,NOR
Poland,POL
Portugal,PRT
Romania,ROU
Russia,RUS
San Marino,SMR
Serbia,SRB
Slovakia,SVK
Slovenia,SVN
Spain,ESP
Sweden,SWE
Switzerland,CHE
Turkey,TUR
Ukraine,UKR
United Kingdom,GBR
Vatican City,VAT
