country,ISO 3166-1 alpha-3_x,year,GDP_Value,Total amount of CO2,latitude,longitude
Albania,ALB,2006,2972.742924,3.910715,41.153332,20.168331
Albania,ALB,2007,3595.038057,3.94897,41.153332,20.168331
Albania,ALB,2008,4370.539925,4.397043,41.153332,20.168331
Albania,ALB,2009,4114.134899,4.406552,41.153332,20.168331
Albania,ALB,2010,4094.348386,4.783865,41.153332,20.168331
Albania,ALB,2011,4437.142612,5.314676,41.153332,20.168331
Albania,ALB,2012,4247.630047,4.85006,41.153332,20.168331
Albania,ALB,2013,4413.062005,5.287466,41.153332,20.168331
Albania,ALB,2014,4578.633208,5.999658,41.153332,20.168331
Albania,ALB,2015,3952.802538,4.712137,41.153332,20.168331
Albania,ALB,2016,4124.05539,4.631977,41.153332,20.168331
Andorra,AND,2006,43086.49983,0.545936,42.506285,1.521801
Andorra,AND,2007,50565.45648,0.538608,42.506285,1.521801
Andorra,AND,2008,53719.42127,0.538608,42.506285,1.521801
Andorra,AND,2009,49753.6906,0.516624,42.506285,1.521801
Andorra,AND,2010,48238.4661,0.516624,42.506285,1.521801
Andorra,AND,2011,51429.19192,0.490976,42.506285,1.521801
Andorra,AND,2012,44904.58004,0.487312,42.506285,1.521801
Andorra,AND,2013,44750.43568,0.47632,42.506285,1.521801
Andorra,AND,2014,45682.24623,0.461664,42.506285,1.521801
Andorra,AND,2015,38885.37601,0.465328,42.506285,1.521801
Andorra,AND,2016,39932.16449,0.468992,42.506285,1.521801
Austria,AUT,2006,40669.32696,76.806465,47.516231,14.550072
Austria,AUT,2007,46915.3374,74.10678,47.516231,14.550072
Austria,AUT,2008,51919.98358,73.481909,47.516231,14.550072
Austria,AUT,2009,48153.32402,67.298655,47.516231,14.550072
Austria,AUT,2010,46903.76159,72.006411,47.516231,14.550072
Austria,AUT,2011,51442.27625,69.893113,47.516231,14.550072
Austria,AUT,2012,48564.91734,67.26591,47.516231,14.550072
Austria,AUT,2013,50731.12725,67.759445,47.516231,14.550072
Austria,AUT,2014,51786.37717,64.16,47.516231,14.550072
Austria,AUT,2015,44195.81759,66.348823,47.516231,14.550072
Austria,AUT,2016,45307.58786,67.210743,47.516231,14.550072
Belgium,BEL,2006,38705.1068,123.880438,50.503887,4.469936
Belgium,BEL,2007,44319.16545,120.477002,50.503887,4.469936
Belgium,BEL,2008,48303.39796,120.175599,50.503887,4.469936
Belgium,BEL,2009,44760.29124,107.732357,50.503887,4.469936
Belgium,BEL,2010,44184.94635,114.557864,50.503887,4.469936
